nome;período;homicidios-negros;homicidios-mulheres;homicidios-nao-negros;homicidios-de-jovens;homicidios-homens;homicidios-homens-nao-negros;homicidios-de-jovens-homens;homicidios-de-homens-por-armas-de-fogo;homicidio-de-jovens-por-armas-de-fogo;homicidios-mulheres-negras;homicidios;homicidios-de-jovens-mulheres;homicidios-mulheres-nao-negras;homicidios-homens-negros;homicidios-de-mulheres-por-armas-de-fogo;homicidios-por-armas-de-fogo
PE;1989;;173.0;;1326.0;2379.0;;1235;1607.0;943.0;;2553.0;90;;;91.0;1698
PI;1989;;17.0;;68.0;125.0;;60;53.0;30.0;;142.0;8;;;7.0;60
PR;1989;;105.0;;501.0;1004.0;;455;457.0;255.0;;1112.0;45;;;39.0;498
RJ;1989;;304.0;;2310.0;3980.0;;2170;2772.0;1722.0;;4290.0;140;;;167.0;2942
RN;1989;;14.0;;113.0;222.0;;108;121.0;69.0;;236.0;5;;;3.0;124
RO;1989;;47.0;;188.0;443.0;;161;260.0;114.0;;490.0;27;;;25.0;285
RR;1989;;12.0;;61.0;100.0;;53;1.0;1.0;;113.0;8;;;0.0;1
RS;1989;;142.0;;806.0;1419.0;;744;755.0;447.0;;1561.0;62;;;41.0;796
SC;1989;;39.0;;168.0;315.0;;153;142.0;82.0;;354.0;15;;;15.0;157
SE;1989;;15.0;;64.0;124.0;;59;66.0;3946.0;;139.0;5;;;5.0;71
SP;1989;;671.0;;5522.0;8508.0;;5186;2668.0;1821.0;;9179.0;336;;;154.0;2822
TO;1989;;14.0;;22.0;49.0;;15;30.0;13.0;;63.0;7;;;6.0;36
AC;1990;;6.0;;33.0;58.0;;29;29.0;18.0;;64.0;4;;;4.0;33
AL;1990;;55.0;;284.0;663.0;;263;261.0;116.0;;719.0;20;;;12.0;273
AM;1990;;31.0;;207.0;332.0;;193;184.0;119.0;;367.0;14;;;14.0;201
AP;1990;;5.0;;22.0;40.0;;18;14.0;11.0;;46.0;3;;;2.0;17
BA;1990;;77.0;;437.0;782.0;;406;486.0;289.0;;867.0;30;;;31.0;523
CE;1990;;45.0;;253.0;510.0;;230;219.0;126.0;;555.0;23;;;23.0;242
DF;1990;;40.0;;251.0;423.0;;234;259.0;159.0;;463.0;17;;;19.0;278
ES;1990;;88.0;;384.0;791.0;;344;382.0;215.0;;881.0;40;;;37.0;419
GO;1990;;58.0;;309.0;620.0;;277;349.0;180.0;;681.0;32;;;29.0;380
MA;1990;;32.0;;199.0;410.0;;182;180.0;86.0;;442.0;17;;;14.0;194
